lat,lon,time
44.424781200000011,26.0772591,2018-08-26 16:10:05
44.425069,26.079433,2018-08-26 16:10:05
44.424629,26.086800,2018-08-26 16:10:05
44.424399,26.090459,2018-08-26 16:11:14
44.426292,26.091167,2018-08-26 16:12:14
44.426869,26.099097,2018-08-26 16:13:14
44.425989,26.117469,2018-08-26 16:14:14
44.425550,26.127261,2018-08-26 16:16:14
44.427190,26.130619,2018-08-26 16:18:14
44.430599,26.136316,2018-08-26 16:21:14
44.432415,26.142174,2018-08-26 16:24:14
44.432974,26.149191,2018-08-26 16:29:14
44.433380,26.154051,2018-08-26 16:34:14
44.433242,26.157946,2018-08-26 16:40:14
