lat,lon,time,zone
44.419354,26.04897,2018-06-01 17:02:15,0
44.4193523,26.0489598,2018-06-01 17:07:23,0
44.4193781,26.0489812,2018-06-01 17:07:43,0
44.4193831,26.048981100000002,2018-06-01 17:08:03,0
44.419385999999996,26.0489764,2018-06-01 17:08:23,0
44.419334,26.0489515,2018-06-01 17:08:39,0
44.419416299999995,26.0490113,2018-06-01 17:08:59,0
44.4193888,26.048987300000004,2018-06-01 17:09:19,0
44.41942879999999,26.049025600000004,2018-06-01 17:09:39,0
44.4194157,26.049011800000002,2018-06-01 17:09:59,0
44.419441299999995,26.0490251,2018-06-01 17:10:19,0
44.4194008,26.048997699999997,2018-06-01 17:10:39,0
44.4193391,26.0489577,2018-06-01 17:11:19,0
44.4193447,26.048954199999997,2018-06-01 17:11:47,0
44.419349,26.0489675,2018-06-01 17:12:08,0
44.419364200000004,26.0489705,2018-06-01 17:12:28,0
44.4193529,26.0489607,2018-06-01 17:12:48,0
44.4193439,26.048955399999997,2018-06-01 17:13:08,0
44.4193364,26.0489609,2018-06-01 17:13:28,0
44.419343,26.0489589,2018-06-01 17:13:48,0
44.41934439999999,26.0489615,2018-06-01 17:14:08,0
44.419344,26.048961300000002,2018-06-01 17:14:28,0
44.4193526,26.0489589,2018-06-01 17:14:48,0
44.419354600000005,26.0489604,2018-06-01 17:15:08,0
44.4193341,26.0489492,2018-06-01 17:15:24,0
44.4193533,26.048970699999998,2018-06-01 17:15:45,0
44.4193344,26.0489518,2018-06-01 17:16:05,0
44.4193423,26.048954100000003,2018-06-01 17:16:25,0
44.4193565,26.048966600000004,2018-06-01 17:16:45,0
44.4193929,26.049007800000002,2018-06-01 17:19:04,0
44.419362899999996,26.0489633,2018-06-01 17:19:24,0
44.4193828,26.0489815,2018-06-01 17:19:44,0
44.419360600000005,26.048962,2018-06-01 17:20:04,0
44.419365899999995,26.0489714,2018-06-01 17:20:24,0
44.419389200000005,26.0489883,2018-06-01 17:20:44,0
44.4193477,26.048970800000003,2018-06-01 17:21:04,0
44.4193645,26.0489714,2018-06-01 17:21:24,0
44.419346999999995,26.048962799999998,2018-06-01 17:21:44,0
44.419365,26.0489723,2018-06-01 17:22:04,0
44.4193535,26.0489603,2018-06-01 17:22:24,0
44.4193602,26.048961,2018-06-01 17:22:44,0
44.4193588,26.048955300000003,2018-06-01 17:23:05,0
44.419356799999996,26.0489733,2018-06-01 17:23:25,0
44.4193531,26.0489525,2018-06-01 17:23:45,0
44.419354799999994,26.0489713,2018-06-01 17:24:05,0
44.4193533,26.048961399999996,2018-06-01 17:24:25,0
